Date,return
2019-03-14,-0.176
2019-03-13,-0.19708029197080293
2019-03-12,-0.03571428571428574
2019-03-11,0.013816615826305273
2019-03-08,0.08490566037735835
2019-03-07,0.09990740740740729
2019-03-06,0.186889692585895
2019-03-05,0.05325884543761631
2019-03-04,0.03694444444444428
2019-03-01,0.04442307692307694
2019-02-28,0.02324687800192123
2019-02-27,0.04271844660194178
2019-02-26,0.04542857142857129
2019-02-25,0.051553398058252355
2019-02-22,0.005480769230769267
2019-02-21,0.01276722090261296
2019-02-20,-0.03669724770642205
2019-02-19,-0.03647214854111425
2019-02-15,-0.04587155963302756
2019-02-14,-0.009411764705882404
2019-02-13,-0.15092436974789916
2019-02-12,0.020000000000000018
2019-02-11,-0.016840260878029877
2019-02-08,-0.009428571428571448
2019-02-07,0.020000000000000018
2019-02-06,-0.042857142857142996
2019-02-05,-0.008910891089109028
2019-02-04,-0.02838747439274208
2019-02-01,-9.90000990000881e-05
2019-01-31,-0.08256880733944962
2019-01-30,-0.10594827586206898
2019-01-29,-0.014730270217539648
2019-01-28,-0.04299065420560751
2019-01-25,0.030000000000000027
2019-01-24,-0.028571428571428595
2019-01-23,0.09405940594059403
2019-01-22,0.027397260273972605
2019-01-18,-0.015405224380442067
2019-01-17,-0.04770642201834866
2019-01-16,0.029411764705882377
2019-01-15,0.04104104104104108
2019-01-14,0.09297218155197644
2019-01-11,0.1001052631578947
2019-01-10,0.11640798226164065
2019-01-09,0.030000000000000027
2019-01-08,-0.010000000000000009
2019-01-07,0.07642626480086108
2019-01-04,0.08747609942638629
2019-01-03,0.07216494845360831
2019-01-02,0.11885019347705919
2018-12-31,-0.01020408163265307
2018-12-28,-0.11764705882352941
2018-12-27,-0.21682242990654213
2018-12-26,-0.19642857142857148
2018-12-24,-0.1517857142857144
2018-12-21,-0.24991666666666662
2018-12-20,-0.21008403361344538
2018-12-19,-0.08698175787728027
2018-12-18,-0.1307692307692309
2018-12-17,-0.12307692307692318
2018-12-14,0.028189655172413945
2018-12-13,-0.010320915981293277
2018-12-12,-0.04838709677419359
2018-12-11,-0.024390243902439046
2018-12-10,0.07317073170731714
2018-12-07,-0.06790322580645165
2018-12-06,-0.012502986382097672
2018-12-04,-0.020769170022901358
2018-12-03,0.0319174466042717
2018-11-30,-0.06201550387596905
2018-11-29,-0.043458266268107594
2018-11-28,-0.06106870229007639
2018-11-27,-0.007575757575757582
2018-11-26,-0.052954545454545504
2018-11-23,-0.030534351145038195
2018-11-21,-0.10869565217391298
2018-11-20,-0.06617647058823535
2018-11-19,-0.05428571428571418
2018-11-16,0.031007751937984523
2018-11-15,-0.02173913043478247
2018-11-14,-0.050724637681159306
2018-11-13,0.030303030303030328
2018-11-12,-0.00419287211740029
2018-11-09,-0.02173913043478247
2018-11-08,-0.04964539007092188
2018-11-07,0.07812499999999989
2018-11-06,0.015151515151515164
2018-11-05,-0.019347826086956486
2018-11-02,0.0316904150120688
2018-11-01,0.07633587786259531
2018-10-31,-0.029411764705882377
2018-10-30,0.07812499999999989
2018-10-29,0.11290322580645154
2018-10-26,-0.0393554384877595
2018-10-25,-0.02189781021897812
2018-10-24,-0.10344827586206891
2018-10-23,0.03305785123966945
2018-10-22,-0.031085271317829476
2018-10-19,0.08196721311475418
2018-10-18,0.011111111111111039
2018-10-17,0.015267175572519097
2018-10-16,-0.07185628742514975
2018-10-15,-0.06666666666666672
2018-10-12,-0.01612903225806453
2018-10-11,0.09756097560975618
2018-10-10,0.007692307692307699
2018-10-09,-0.010227272727272778
2018-10-08,0.13750000000000004
2018-10-05,0.024590163934426253
2018-10-04,0.006085192697768814
2018-10-03,0.026377952755905577
2018-10-02,-0.02380952380952383
2018-10-01,-0.05161691542288559
2018-09-28,-0.008064516129032265
2018-09-27,-0.03125000000000003
2018-09-26,-0.015873015873015886
2018-09-25,0.011146496815286634
2018-09-24,0.008000000000000007
2018-09-21,0.04079999999999995
2018-09-20,0.040650406504065074
2018-09-19,0.016080000000000004
2018-09-18,-0.02294573643410858
2018-09-17,-0.014960629921259943
2018-09-14,-0.01517176322616154
2018-09-13,-0.0751879699248121
2018-09-12,-0.05970149253731348
2018-09-11,-0.045504994450610355
2018-09-10,-0.058823529411764754
2018-09-07,-0.09979152189020149
2018-09-06,-0.030378086981860616
2018-09-05,-0.03571428571428559
2018-09-04,-0.04255319148936158
2018-08-31,-0.08506666666666662
2018-08-30,-0.08460564037602508
2018-08-29,-0.05369127516778528
2018-08-28,-0.04042466312780735
2018-08-27,-0.013888888888888902
2018-08-24,0.09489051094890502
2018-08-23,-0.006944444444444451
2018-08-22,0.06428571428571435
2018-08-21,0.08029197080291961
2018-08-20,0.00724637681159421
2018-08-17,0.014598540145985252
2018-08-16,-0.042473155050954135
2018-08-15,-7.01459034792291e-05
2018-08-14,-0.01180555555555549
2018-08-13,-0.05479452054794526
2018-08-10,-0.08796052631578943
2018-08-09,-0.047619047619047665
2018-08-08,-0.05182864537219903
2018-08-07,-0.07734589713388305
2018-08-06,-0.06950246866691993
2018-08-03,-0.05194805194805199
2018-08-02,-0.11949685534591205
2018-08-01,-0.06434215477235672
2018-07-31,-0.03138364779874217
2018-07-30,-0.04438964241676946
2018-07-27,-0.04326893401641877
2018-07-26,-0.018404907975460003
2018-07-25,0.004079071226859223
2018-07-24,-0.01440429687500004
2018-07-23,-0.04216867469879509
2018-07-20,-0.01361963190184049
2018-07-19,-0.015304878048780429
2018-07-18,-0.029646386474580348
2018-07-17,0.024208566108007402
2018-07-16,0.01649203298406594
2018-07-13,0.03658536585365857
