Date,return
2019-03-14,0.03522182254196634
2019-03-13,0.032262882748319587
2019-03-12,0.0014492753623187582
2019-03-11,-0.003579610538373425
2019-03-08,-0.08650331663733586
2019-03-07,-0.08754208754208755
2019-03-06,-0.08951199784308439
2019-03-05,-0.05921409214092128
2019-03-04,-0.09337662337662335
2019-03-01,0.03643269095512735
2019-02-28,0.06811594202898555
2019-02-27,0.0961906162670982
2019-02-26,0.07037572254335246
2019-02-25,0.04352923933753479
2019-02-22,0.03745373797187271
2019-02-21,0.04965622612681436
2019-02-20,0.05703657780533179
2019-02-19,0.10851472471190794
2019-02-15,0.13342140026420077
2019-02-14,0.1245575594134502
2019-02-13,0.09199403281949274
2019-02-12,0.05719008264462811
2019-02-11,0.03698722259583058
2019-02-08,0.06367634124890056
2019-02-07,0.05091292134831458
2019-02-06,0.062212796041003944
2019-02-05,0.061861120902361615
2019-02-04,0.045759717314487566
2019-02-01,0.010357142857142827
2019-01-31,0.03646308113035551
2019-01-30,0.01216675612810878
2019-01-29,-0.009883515707730236
2019-01-28,0.010892857142857133
2019-01-25,0.017808958445763533
2019-01-24,-0.008878420003623752
2019-01-23,0.02553269654665688
2019-01-22,0.08032975460122709
2019-01-18,0.07383444338725029
2019-01-17,0.04484389782403023
2019-01-16,0.03829547587760464
2019-01-15,-0.0011061946902655286
2019-01-14,-0.035110533159948
2019-01-11,0.021346153846153834
2019-01-10,0.0625250501002005
2019-01-09,0.10047160139429974
2019-01-08,0.11393188854489156
2019-01-07,0.08797713819146755
2019-01-04,0.05774331769026741
2019-01-03,0.04369243949453843
2019-01-02,0.0746914916648626
2018-12-31,0.10195035460992911
2018-12-28,-0.05736585365853654
2018-12-27,-0.06475932727624192
2018-12-26,-0.1083005433764286
2018-12-24,-0.14603174603174604
2018-12-21,-0.16087984002908565
2018-12-20,-0.09167112537899055
2018-12-19,-0.13857428381079281
2018-12-18,-0.10577243910577239
2018-12-17,-0.10111978282999662
2018-12-14,-0.01755941823341614
2018-12-13,-0.0015704065608096913
2018-12-12,0.08502538071065999
2018-12-11,0.03793466807165444
2018-12-10,-0.0329651941097724
2018-12-07,-0.020725388601036197
2018-12-06,0.02037923090554667
2018-12-04,0.03841931942919871
2018-12-03,0.08350651804269793
2018-11-30,0.12137507201843672
2018-11-29,0.1356764186137837
2018-11-28,0.10636645962732913
2018-11-27,0.0834871794871795
2018-11-26,-0.006891413671074641
2018-11-23,-0.06536425050209979
2018-11-21,-0.0030995738086012515
2018-11-20,-0.04441504441504431
2018-11-19,-0.050812240272006
2018-11-16,-0.009774990778310608
2018-11-15,-0.0020179783525958437
2018-11-14,-0.09255039439088508
2018-11-13,-0.034673552194761995
2018-11-12,-0.0020904599011782486
2018-11-09,-0.15044663845792197
2018-11-08,-0.14270135535130077
2018-11-07,-0.10133963750985027
2018-11-06,-0.1310995445673389
2018-11-05,0.07454576328748515
2018-11-02,0.0728098200773499
2018-11-01,0.057175811501071
2018-10-31,0.009629272989889172
2018-10-30,-0.0671618693902817
2018-10-29,-0.06460807600950116
2018-10-26,-0.08076681332495286
2018-10-25,-0.052615571776155834
2018-10-24,-0.07816711590296493
2018-10-23,-0.07591623036649223
2018-10-22,-0.014950419527078627
2018-10-19,-0.011365405573719506
2018-10-18,0.004314329738058569
2018-10-17,0.021676079987788147
2018-10-16,-0.01712723085780077
2018-10-15,-0.06383593298671292
2018-10-12,-0.10952644696759896
2018-10-11,-0.14186237028945922
2018-10-10,-0.08755823513291312
2018-10-09,-0.037530932086884655
2018-10-08,-0.05740790535090073
2018-10-05,-0.0351272534464474
2018-10-04,-0.02687242250897959
2018-10-03,-0.03233043019266301
2018-10-02,-0.07463258785942496
2018-10-01,-0.034070221066319954
2018-09-28,-0.004633306857294261
2018-09-27,-0.054128555318882436
2018-09-26,-0.03276389597144305
2018-09-25,-0.011776624034443366
2018-09-24,-0.029734156482298088
2018-09-21,-0.08344339056309284
2018-09-20,-0.05674097031827399
2018-09-19,-0.07830612727702867
2018-09-18,-0.08152615099153428
2018-09-17,-0.07204983544898913
2018-09-14,-0.0029836496001909535
2018-09-13,0.009539910638811641
2018-09-12,-0.01581722319859396
2018-09-11,-0.04606355885284018
2018-09-10,-0.04509759928202822
2018-09-07,-0.04760285617137031
2018-09-06,-0.04275862068965516
2018-09-05,-0.008579710144927477
2018-09-04,0.060174281676872346
2018-08-31,0.06520443437835259
2018-08-30,0.06827260622200702
2018-08-29,0.06398537477148081
2018-08-28,0.06506382451357046
2018-08-27,0.04420298802321272
2018-08-24,0.04352188636648688
2018-08-23,0.04761904761904767
2018-08-22,0.07848034704877105
2018-08-21,0.0967479674796748
2018-08-20,0.11467699543505314
2018-08-17,0.09033236794924833
2018-08-16,0.08553914739481751
2018-08-15,0.0343218012081274
2018-08-14,0.01334786161808777
2018-08-13,-0.08067805251083353
2018-08-10,-0.03862546616941917
2018-08-09,-0.09930052460654512
2018-08-08,-0.05470887065259871
2018-08-07,-0.037459070072036665
2018-08-06,0.04109406270847229
2018-08-03,-0.04889391654097537
2018-08-02,-0.06591359031093526
2018-08-01,-0.1006907856222924
2018-07-31,-0.1065186584789798
2018-07-30,-0.1380255941499086
2018-07-27,-0.07526011560693648
2018-07-26,-0.039915026833631406
2018-07-25,-0.06583378598587726
2018-07-24,-0.0968223501812753
2018-07-23,-0.06009693053311792
2018-07-20,-0.07863375186209833
2018-07-19,-0.042112013681060254
2018-07-18,0.0272356378873084
2018-07-17,0.06679541065545831
2018-07-16,0.05194805194805205
2018-07-13,0.05536761389264768
