Date,return
2019-03-14,0.02760524499654941
2019-03-13,0.015967153284671434
2019-03-12,-0.0026969322395774234
2019-03-11,-0.00033745781777279115
2019-03-08,-0.03274336283185849
2019-03-07,-0.03963548528765919
2019-03-06,-0.016981342866718915
2019-03-05,-0.017801857585139313
2019-03-04,-0.02494231403142523
2019-03-01,-0.023703864054551334
2019-02-28,-0.020377194884023515
2019-02-27,-0.019379422972237357
2019-02-26,-0.0067589665322141555
2019-02-25,-0.0010973334796444017
2019-02-22,0.009331430453397675
2019-02-21,0.01957748036721613
2019-02-20,0.012655441839991101
2019-02-19,0.013669937162385726
2019-02-15,0.013745704467354054
2019-02-14,0.008225878168074801
2019-02-13,0.008319467554076539
2019-02-12,0.015623256332998613
2019-02-11,0.016358303249097504
2019-02-08,0.030800821355236173
2019-02-07,0.042575285565939744
2019-02-06,0.04838337182448051
2019-02-05,0.025254256656382056
2019-02-04,0.023207481815032967
2019-02-01,0.006309510152575395
2019-01-31,-0.006184858549994345
2019-01-30,-0.005731972945087699
2019-01-29,-0.004825922095829044
2019-01-28,-0.015431748553273568
2019-01-25,-0.004801646278724154
2019-01-24,0.01955702167766271
2019-01-23,0.0187397516982901
2019-01-22,0.014230724367199334
2019-01-18,0.04600684204317572
2019-01-17,0.01462264150943407
2019-01-16,0.004489603024574616
2019-01-15,0.011752136752136861
2019-01-14,0.027159607561617564
2019-01-11,0.039956278843818215
2019-01-10,0.05559673832468495
2019-01-09,0.031409788166544904
2019-01-08,0.013184952219668603
2019-01-07,-0.005505685218432002
2019-01-04,-0.013716603053435182
2019-01-03,-0.015884743258219335
2019-01-02,0.045483180042837336
2018-12-31,0.041362229102167226
2018-12-28,0.013149884329721154
2018-12-27,-0.0019163971733141287
2018-12-26,-0.026290857413548068
2018-12-24,-0.07445563099976585
2018-12-21,-0.044089834515366313
2018-12-20,-0.014791840629846056
2018-12-19,-0.0508090981102185
2018-12-18,-0.04409448818897639
2018-12-17,-0.04394861392832986
2018-12-14,-0.033455126741265044
2018-12-13,-0.057758524936132434
2018-12-12,0.0012498579706851428
2018-12-11,-0.031665750412314564
2018-12-10,-0.06074866310160435
2018-12-07,-0.04684782608695655
2018-12-06,-0.020023941669387348
2018-12-04,-0.02501371365880418
2018-12-03,0.012956810631229256
2018-11-30,0.02588888888888887
2018-11-29,0.031710333970538546
2018-11-28,0.03807049254405789
2018-11-27,0.013471387218882299
2018-11-26,-0.00022045855379184326
2018-11-23,-0.018803606773696874
2018-11-21,-0.004240124972104548
2018-11-20,-0.007104996052779919
2018-11-19,0.022811970638057552
2018-11-16,0.015092230296254826
2018-11-15,0.0013166556945359287
2018-11-14,-0.008592200925313959
2018-11-13,-0.014636871508379914
2018-11-12,-0.001472587222473895
2018-11-09,0.007080242751179989
2018-11-08,-0.0009840367373714104
2018-11-07,0.02055256064690025
2018-11-06,0.00022519986488003625
2018-11-05,0.008352402745995306
2018-11-02,0.01731849982796198
2018-11-01,0.049168975069252135
2018-10-31,0.024982730831222676
2018-10-30,0.0038658328595793452
2018-10-29,-0.03266666666666664
2018-10-26,-0.04982912578547014
2018-10-25,-0.06232568118429524
2018-10-24,-0.08182592040859754
2018-10-23,-0.059974478945129736
2018-10-22,-0.025106382978723397
2018-10-19,-0.0134636264929424
2018-10-18,0.00516907172087017
2018-10-17,0.01275675675675683
2018-10-16,-0.018647775809980123
2018-10-15,-0.04839369756496818
2018-10-12,-0.05892013960172444
2018-10-11,-0.06352143077397478
2018-10-10,-0.05387446329993863
2018-10-09,-0.01129943502824853
2018-10-08,-0.0018378599142331285
2018-10-05,-0.013987431583215037
2018-10-04,0.0038077595965833543
2018-10-03,0.005957883923985748
2018-10-02,0.004866431973493466
2018-10-01,0.015569856757317832
2018-09-28,0.006682430348514503
2018-09-27,0.005783331612103711
2018-09-26,0.000411564975820622
2018-09-25,-0.009779699402923645
2018-09-24,-0.004956629491945518
2018-09-21,-0.02634467618002196
2018-09-20,-0.02321338063862145
2018-09-19,-0.027900441589723015
2018-09-18,-0.022724987430869835
2018-09-17,-0.03290000000000006
2018-09-14,0.031430338004946386
2018-09-13,0.01640189808128743
2018-09-12,0.028432084673653574
2018-09-11,0.043888132397611794
2018-09-10,0.045065720842895965
2018-09-07,0.0077324973876697475
2018-09-06,0.012183692596063748
2018-09-05,0.0031162355874103788
2018-09-04,-0.008870551830840633
2018-08-31,-0.006719735345807978
2018-08-30,-0.010866190624029775
2018-08-29,-0.012235245733086694
2018-08-28,-0.009257354453816145
2018-08-27,-0.0020616431295743
2018-08-24,-0.005257189980414443
2018-08-23,-0.0003111065021259062
2018-08-22,0.024541815883716015
2018-08-21,0.04224295057360349
2018-08-20,0.03420074349442378
2018-08-17,0.020914345769837046
2018-08-16,0.0211864406779661
2018-08-15,-0.00010573059843524124
2018-08-14,-0.02246957245396855
2018-08-13,-0.021458333333333357
2018-08-10,-0.010324329961414067
2018-08-09,-0.0071256418317091775
2018-08-08,0.006284696763381108
2018-08-07,0.026865671641791003
2018-08-06,0.05864231488612607
2018-08-03,0.049178532311062534
2018-08-02,0.03954248366013083
2018-08-01,0.04024430145053984
2018-07-31,0.022618915622574634
2018-07-30,0.00522222222222221
2018-07-27,0.012511071744907105
2018-07-26,0.0262569832402234
2018-07-25,0.037309214245336314
2018-07-24,0.024945893609750514
2018-07-23,0.02916188289322625
2018-07-20,0.03577981651376136
2018-07-19,0.03333333333333334
2018-07-18,0.03254300325430029
2018-07-17,0.013638465094775854
2018-07-16,0.01665308023756833
2018-07-13,0.023480825958702004
