Date,f_GSP,f_NDAQ,f_OPEC,f_TREASURY
18/09/2018,0.008187056,-0.028170523,0.011303191,0.02020202
17/09/2018,0.012523237,-0.013108413,0.030875017,0.015151515
14/09/2018,9.69E-05,-0.030713832,0.035565696,0.015151515
13/09/2018,-0.001279642,-0.029198592,0.011173184,0.01
12/09/2018,-0.006845141,-0.022091928,-0.014675052,-0.01
11/09/2018,-0.009208693,-0.01345054,-0.021116537,0.015384615
10/09/2018,-0.010618954,-0.017210432,-0.016239768,0.005076142
07/09/2018,-0.004143941,-0.005891016,-0.007131537,0.015228426
06/09/2018,-0.001630219,0.016496795,0.024704619,0.020408163
05/09/2018,0.005834284,0.006432564,0.013645485,-0.005102041
04/09/2018,0.013548238,0.012319229,0.022270212,0.01025641
03/09/2018,0.018791801,0.021650151,0.022966766,0.015463918
31/08/2018,0.018791801,0.021650151,0.020134228,0.015463918
30/08/2018,0.012768307,0.031229668,0.041811847,0.005128205
29/08/2018,0.012311682,0.0196373,0.043374173,0.010309278
28/08/2018,0.00727418,0.019698601,0.047848245,0.010362694
27/08/2018,0.006574276,0.006688963,0.038992458,-0.005128205
24/08/2018,0.010729594,-0.001398,0.032819922,-0.005102041
23/08/2018,0.012379993,0.004996199,0.017772682,-0.010204082
22/08/2018,0.010315183,0.010193017,-0.009673349,-0.015306122
21/08/2018,0.005173728,0.008673027,-0.009863323,0.010362694
20/08/2018,0.000630526,0.005205509,-0.016005666,0.020833333
17/08/2018,-0.013586706,-0.009677419,-0.031375816,0.02617801
16/08/2018,-0.005891228,-0.009735744,-0.010679612,0.015544041
15/08/2018,-0.011901594,-0.003574136,-0.020968409,-0.015306122
14/08/2018,-0.002468058,0.007877462,-0.02188972,0
13/08/2018,0.008467568,0.011662125,0.000694637,0.005263158
10/08/2018,0.020432212,0.022662266,0.00810962,0.021164021
09/08/2018,0.013214412,0.01899356,0.006805556,0.015544041
08/08/2018,0.014474665,-0.012141399,-0.019559902,-0.010309278
07/08/2018,0.007573643,-0.044590643,-0.021079831,-0.005235602
06/08/2018,-0.005323095,-0.02745389,-0.029447686,-0.005263158
03/08/2018,-0.007804612,-0.028489423,-0.02200489,0.021164021
02/08/2018,-0.00051105,-0.027659574,0.010292301,0.021052632
01/08/2018,-0.006409731,-0.032929124,0.021108179,-0.005208333
31/07/2018,0.00702001,0.0092827,0.025608907,0.010638298
30/07/2018,0.011727336,-0.007072733,0.028643286,0.016129032
27/07/2018,0.013063427,-0.010826151,0.027640671,0.005291005
26/07/2018,0.003219023,0.007511638,0.029008288,0.010526316
25/07/2018,0.006324041,0.020951363,0.020886616,-0.025906736
24/07/2018,0.001597935,0.019750966,-0.004589708,-0.021052632
23/07/2018,0.002702999,0.018985305,-0.017186417,0.010695187
20/07/2018,0.011670344,0.039699804,-0.03007623,0.005291005
19/07/2018,0.010694901,0.045842099,-0.054032258,0.021164021
18/07/2018,0.003539389,0.034258647,-0.058160859,0.010638298
17/07/2018,0.009255589,0.029977876,-0.040941114,0
16/07/2018,0.022139221,0.0333112,-0.031543624,0.016129032
13/07/2018,0.018291713,0.01173605,-0.010769844,0.010695187
12/07/2018,0.022160306,-0.023245803,0.012735474,-0.015706806
11/07/2018,0.029287011,-0.001204951,0.003601921,-0.015789474
10/07/2018,0.011987034,-0.018837108,-0.014680598,0.050847458
09/07/2018,0.014051337,-0.008343397,-0.006210359,0.0625
06/07/2018,-0.005581924,-0.019151251,0.0069463,0.067039106
05/07/2018,0.001686149,-0.000436157,0.00874714,0.061452514
04/07/2018,-0.008957469,-0.020077303,0.040170587,-0.016666667
03/07/2018,-0.008957469,-0.020077303,0.048780488,-0.016666667
02/07/2018,-0.016111294,-0.029882378,0.041313117,-0.038251366
29/06/2018,-0.025150978,-0.031771331,0.047209696,-0.032432432
28/06/2018,-0.016849982,-0.028204856,0.002759001,-0.032432432
27/06/2018,-0.012696138,-0.019216398,0.003895381,-0.027027027
26/06/2018,-0.00394466,-0.008474576,0.011111111,-0.005434783
25/06/2018,-0.010087192,-0.004652638,-0.025274725,0.016483516
22/06/2018,-0.005709199,-0.015724919,-0.017883756,0.022099448
21/06/2018,-0.009092664,-0.014779874,-0.020174482,0.016483516
20/06/2018,-0.004254056,-0.012163154,-0.040744738,0.016574586
19/06/2018,-0.000187038,-0.003778338,-0.015817223,0
18/06/2018,0.006019835,-0.005143817,-0.00565809,0.016853933
15/06/2018,0.000284629,0.006016466,-0.003666984,0.02247191
14/06/2018,0.012203796,0.01963209,0.014369782,0
13/06/2018,0.012203197,0.020384079,0.016071429,0
12/06/2018,0.013626768,0.028432432,0.008971048,0.005649718
11/06/2018,0.019005444,0.027957686,-0.008350168,0.022988506
08/06/2018,0.018879264,0.016936435,-0.028065975,0.028409091
07/06/2018,0.017158669,0.004630128,-0.01261359,0.028248588
06/06/2018,0.015437449,0.009541364,0.009052256,0
05/06/2018,0.004046115,-0.003570656,0.011994003,0.023529412
04/06/2018,-0.009399658,0.000980713,0.00414051,0.011494253
01/06/2018,0.003695679,0.026136613,-0.037718611,0.005681818
31/05/2018,-0.017704156,0.010743258,-0.046055214,0.023121387
30/05/2018,-0.005139962,0.027236492,-0.049488276,-0.005847953
29/05/2018,0.003830901,0.024446903,-0.017711887,0.035714286
28/05/2018,0.004993179,0.021340447,0.001961554,0.035294118
25/05/2018,0.004993179,0.021340447,-0.004299114,0.035294118
24/05/2018,0.004357337,0.017342968,0.026735834,0.023668639
23/05/2018,0.005304183,0.012769265,0.009937724,0.01183432
