timestamp,open,high,low,close,volume
2019-03-14,220.6800,222.6000,220.6800,220.6800,166
2019-03-13,221.3200,221.3200,221.3200,221.3200,597
2019-03-12,223.0500,225.0000,221.0200,221.0200,774
2019-03-11,222.0000,225.2000,222.0000,225.2000,1363
2019-03-08,228.0000,228.0000,223.5000,223.5000,815
2019-03-07,227.0400,228.5446,223.2000,223.2000,3170
2019-03-06,229.7425,230.0000,229.7425,230.0000,933
2019-03-05,229.0000,229.0000,229.0000,229.0000,387
2019-03-04,229.0000,232.0000,229.0000,229.0200,1361
2019-03-01,228.2541,229.4700,225.6750,229.4700,899
2019-02-28,225.0000,226.0000,224.9900,224.9900,1287
2019-02-27,225.0000,225.0000,225.0000,225.0000,261
2019-02-26,224.0200,234.9400,224.0200,225.0000,1296
2019-02-25,233.8843,233.8843,223.7300,223.7300,1034
2019-02-22,226.0000,233.9838,226.0000,226.5100,1270
2019-02-21,219.9800,225.9000,219.9800,225.9000,1440
2019-02-20,219.9800,219.9800,219.9800,219.9800,682
2019-02-19,217.8000,217.8000,217.8000,217.8000,610
2019-02-15,215.0000,219.0000,215.0000,217.5000,1173
2019-02-14,217.1300,217.1300,217.1300,217.1300,752
2019-02-13,219.9500,219.9500,219.9500,219.9500,540
2019-02-12,218.8200,218.8200,218.8200,218.8200,270
2019-02-11,215.0000,215.0000,215.0000,215.0000,185
2019-02-08,215.0000,215.0000,215.0000,215.0000,424
2019-02-07,216.1000,216.1000,215.0000,215.0000,1229
2019-02-06,220.6400,220.6400,220.0000,220.0400,2221
2019-02-05,229.5000,229.5000,229.5000,229.5000,5777
2019-02-04,225.9973,225.9973,222.5000,224.2000,6727
2019-02-01,226.5500,226.5500,226.5500,226.5500,655
2019-01-31,225.0000,225.0000,221.1100,221.1100,1087
2019-01-30,222.3000,222.3000,222.3000,222.3000,634
2019-01-29,216.1200,216.1200,216.1200,216.1200,306
2019-01-28,216.1200,216.1200,216.1200,216.1200,341
2019-01-25,214.0000,214.0000,214.0000,214.0000,151
2019-01-24,214.0000,214.0600,213.0000,214.0000,2727
2019-01-23,214.0400,214.0400,214.0400,214.0400,521
2019-01-22,218.0000,218.0000,214.0400,214.0400,447
2019-01-18,215.6200,216.5050,214.0000,215.0000,1589
2019-01-17,192.8300,220.0000,192.8300,215.6000,851
2019-01-16,215.0000,218.5000,215.0000,218.5000,713
2019-01-15,220.0000,220.0000,217.0000,217.0000,786
2019-01-14,223.8900,223.8900,218.9600,218.9600,1784
2019-01-11,219.9999,220.0000,216.1100,218.5000,3968
2019-01-10,224.9899,224.9999,219.0200,221.3200,5361
2019-01-09,221.0000,224.9999,219.0000,220.8000,2517
2019-01-08,225.3100,225.5200,220.2000,222.9900,2603
2019-01-07,231.5550,231.5550,228.1100,229.3900,1251
2019-01-04,230.9800,230.9800,230.9800,230.9800,1033
2019-01-03,230.1100,230.1100,230.1100,230.1100,564
2019-01-02,240.0000,240.0000,235.0000,238.6000,1914
2018-12-31,234.0000,234.0000,234.0000,234.0000,882
2018-12-28,234.4000,234.4000,234.4000,234.4000,568
2018-12-27,232.0000,232.0000,232.0000,232.0000,469
2018-12-26,226.0000,231.7100,225.9000,227.3000,3695
2018-12-24,221.5311,226.3000,221.5311,226.3000,592
2018-12-21,226.2100,236.5700,226.2100,230.5700,5922
2018-12-20,231.9899,231.9899,229.0500,229.0500,1016
2018-12-19,226.8200,226.8200,226.8200,226.8200,420
2018-12-18,229.0000,229.0000,229.0000,229.0000,418
2018-12-17,234.4000,234.4000,223.9000,223.9000,943
2018-12-14,229.0000,229.0000,228.9600,229.0000,1357
2018-12-13,228.5600,228.5600,228.5600,228.5600,567
2018-12-12,230.7101,234.4900,229.9401,234.4900,1314
2018-12-11,231.8800,231.8800,231.8800,231.8800,227
2018-12-10,230.0000,232.0000,229.9999,231.8800,4077
2018-12-07,237.9600,237.9600,237.9600,237.9600,643
2018-12-06,238.6600,238.6600,238.6600,238.6600,366
2018-12-04,236.9900,236.9900,236.9900,236.9900,842
2018-12-03,237.1400,237.1400,236.5000,236.5000,1038
2018-11-30,234.8900,244.3200,234.8900,236.0000,1907
2018-11-29,234.0000,234.0000,234.0000,234.0000,113
2018-11-28,234.0000,234.0000,234.0000,234.0000,652
2018-11-27,235.6900,235.6900,235.6900,235.6900,510
2018-11-26,233.2000,233.2000,233.2000,233.2000,514
2018-11-23,232.0001,236.0100,232.0001,233.4800,1021
2018-11-21,236.0000,236.0000,235.9900,236.0000,770
2018-11-20,235.0000,235.0000,234.9900,235.0000,895
2018-11-19,239.0000,239.0000,235.9900,235.9900,1211
2018-11-16,237.1200,237.1200,234.2000,234.2000,1065
2018-11-15,237.9700,237.9700,237.9700,237.9700,164
2018-11-14,232.0000,233.9900,232.0000,233.7500,1917
2018-11-13,233.0000,235.0000,232.0000,232.0000,939
2018-11-12,230.0000,230.0000,226.2000,230.0000,2085
2018-11-09,230.5100,230.5600,230.5100,230.5600,677
2018-11-08,230.9600,230.9600,230.9600,230.9600,229
2018-11-07,225.9000,233.9000,225.9000,233.9000,828
2018-11-06,238.2300,238.2300,212.2000,225.0000,10294
2018-11-05,240.0000,240.0000,235.3500,235.3500,1090
2018-11-02,235.1000,235.1000,235.1000,235.1000,333
2018-11-01,238.7500,238.7500,238.7500,238.7500,472
2018-10-31,237.0400,237.0400,237.0400,237.0400,1707
2018-10-30,235.4000,238.0000,232.9000,236.9400,2585
2018-10-29,239.5000,239.5000,238.4000,238.4000,447
2018-10-26,239.0000,239.0000,239.0000,239.0000,691
2018-10-25,239.5000,239.5000,239.5000,239.5000,1071
2018-10-24,233.6000,233.6000,233.6000,233.6000,529
2018-10-23,232.7400,232.7400,232.7400,232.7400,336
2018-10-22,232.7400,232.7400,232.7400,232.7400,232
2018-10-19,236.1700,236.1700,232.7400,232.7400,847
2018-10-18,240.5000,240.5000,238.6500,238.6500,680
2018-10-17,239.0000,239.0000,239.0000,239.0000,433
2018-10-16,239.0000,240.0000,239.0000,240.0000,1120
2018-10-15,235.0000,236.6100,235.0000,236.6100,473
2018-10-12,240.4999,240.4999,236.2900,236.2900,1178
2018-10-11,235.0000,236.0500,235.0000,236.0500,675
2018-10-10,235.9900,237.0000,234.2000,234.2000,956
2018-10-09,242.0000,242.0000,235.2000,235.2000,1487
2018-10-08,245.6000,245.6000,241.7500,241.7500,601
2018-10-05,245.5900,245.5900,245.1000,245.1000,712
2018-10-04,245.2100,245.2100,245.2100,245.2100,505
2018-10-03,255.5400,255.5400,248.5000,248.5000,924
2018-10-02,244.4400,253.8000,244.4400,251.3000,800
2018-10-01,238.1000,257.7000,238.1000,257.7000,1385
2018-09-28,239.2000,241.0000,238.0000,241.0000,986
2018-09-27,245.0000,245.0000,240.0000,240.0000,2042
2018-09-26,241.0000,241.0000,241.0000,241.0000,494
2018-09-25,240.1000,240.1000,240.1000,240.1000,319
2018-09-24,241.0000,241.0000,235.9900,238.2700,3095
2018-09-21,237.0000,243.3100,235.0100,240.6400,5800
2018-09-20,235.5000,235.5000,235.5000,235.5000,680
2018-09-19,236.1600,236.1600,235.0400,235.0400,558
2018-09-18,238.0000,238.0000,237.5000,237.5000,1123
2018-09-17,236.1500,236.5100,234.0000,235.4800,2583
2018-09-14,232.0000,232.0000,232.0000,232.0000,193
2018-09-13,232.6200,232.6200,232.6200,232.6200,70
2018-09-12,232.6200,232.6200,232.6200,232.6200,400
2018-09-11,234.0200,234.0200,234.0200,234.0200,300
2018-09-10,234.0200,234.0200,234.0200,234.0200,200
2018-09-07,237.6000,237.6000,237.6000,237.6000,285
2018-09-06,237.0000,237.0000,237.0000,237.0000,193
2018-09-05,239.9999,239.9999,236.9800,237.0000,1333
2018-09-04,238.0000,238.0000,238.0000,238.0000,416
2018-08-31,238.4500,238.4500,238.4500,238.4500,247
2018-08-30,235.5800,235.5800,235.0000,235.0000,1197
2018-08-29,238.0000,238.0000,238.0000,238.0000,216
2018-08-28,238.0000,238.0000,238.0000,238.0000,400
2018-08-27,234.1500,234.1500,234.1500,234.1500,456
2018-08-24,234.5000,242.0000,234.4000,239.2000,3044
2018-08-23,232.1000,232.8600,232.1000,232.8600,585
2018-08-22,230.8000,232.0000,230.8000,232.0000,634
2018-08-21,231.7000,231.7000,231.7000,231.7000,316
2018-08-20,234.8512,234.8512,232.8750,234.3300,615
2018-08-17,231.8800,231.8800,230.8500,230.8500,702
2018-08-16,232.7900,232.7900,232.7900,232.7900,457
2018-08-15,233.8800,233.8800,233.8800,233.8800,500
2018-08-14,233.8800,233.8800,233.8800,233.8800,401
2018-08-13,229.7000,230.8100,229.7000,230.8100,760
2018-08-10,232.0100,232.6900,230.5000,232.6900,671
2018-08-09,236.7500,237.1113,232.6000,232.6000,1282
2018-08-08,242.3100,246.7500,239.9900,240.0000,3698
2018-08-07,235.0000,242.0000,235.0000,239.0000,2313
2018-08-06,237.0900,237.0900,234.0000,234.0000,1345
2018-08-03,238.0000,238.0000,238.0000,238.0000,599
2018-08-02,238.0000,238.0000,238.0000,238.0000,900
2018-08-01,236.0000,243.0000,235.5000,238.0000,7319
2018-07-31,232.0000,234.7800,231.0000,234.7800,2875
2018-07-30,230.6000,232.4000,230.6000,232.4000,349
2018-07-27,231.2200,231.2200,231.2200,231.2200,522
2018-07-26,230.6180,230.6180,230.6180,230.6180,273
2018-07-25,234.4900,234.4900,234.4900,234.4900,190
2018-07-24,233.0000,234.4900,233.0000,234.4900,615
2018-07-23,232.9900,232.9900,232.9900,232.9900,426
2018-07-20,231.8900,231.8900,230.0001,230.0001,669
2018-07-19,230.2990,231.5100,230.2990,231.5100,580
2018-07-18,233.0000,233.0000,233.0000,233.0000,194
2018-07-17,233.0000,233.0000,233.0000,233.0000,202
2018-07-16,233.0000,233.0000,233.0000,233.0000,300
2018-07-13,230.6000,230.6000,230.6000,230.6000,144
2018-07-12,230.6000,230.6000,230.6000,230.6000,400
2018-07-11,236.0000,239.2100,236.0000,239.2100,586
2018-07-10,239.2000,239.2000,236.0001,236.0100,1129
2018-07-09,230.0000,241.4500,229.9400,241.4500,3987
2018-07-06,234.9999,234.9999,226.2350,231.4900,1660
2018-07-05,240.0000,243.9700,235.0000,239.5000,2804
2018-07-03,233.9700,233.9700,233.9700,233.9700,84
2018-07-02,225.0100,233.9700,225.0100,233.9700,667
2018-06-29,229.0000,230.2000,229.0000,230.2000,1192
2018-06-28,230.6900,230.6900,228.4000,230.0000,3304
2018-06-27,235.0000,235.0000,234.0000,234.0000,572
2018-06-26,238.6000,238.6000,238.6000,238.6000,481
2018-06-25,237.0000,237.0000,235.0000,237.0000,982
2018-06-22,238.0000,247.4000,232.0000,241.0600,8100
2018-06-21,240.2500,244.0100,238.5000,239.6000,3891
2018-06-20,240.6000,244.9200,240.6000,244.9200,2318
2018-06-19,229.9999,230.0000,229.9999,230.0000,684
2018-06-18,230.0000,230.0000,228.0000,230.0000,1575
2018-06-15,226.8200,231.3900,226.8200,231.3900,2476
2018-06-14,226.4800,229.9000,226.4800,229.9000,628
2018-06-13,228.8400,228.8400,228.8400,228.8400,154
2018-06-12,228.8400,228.8400,228.8400,228.8400,300
2018-06-11,227.7500,229.0000,227.7500,229.0000,536
2018-06-08,227.4900,227.4900,227.4900,227.4900,316
2018-06-07,230.0000,230.0000,230.0000,230.0000,959
2018-06-06,232.0000,232.0000,230.9000,230.9000,913
2018-06-05,223.0090,231.9900,223.0090,231.9900,627
2018-06-04,232.0000,232.0000,229.3800,229.3800,933
2018-06-01,229.0000,229.0000,229.0000,229.0000,445
2018-05-31,226.0000,226.0000,226.0000,226.0000,534
2018-05-30,227.0000,227.0000,226.8500,226.8500,1031
2018-05-29,223.0090,223.0090,223.0090,223.0090,293
2018-05-25,227.0000,229.0000,227.0000,227.0000,800
2018-05-24,228.0000,228.0000,228.0000,228.0000,150
2018-05-23,228.0000,228.0000,228.0000,228.0000,400
2018-05-22,226.0100,226.0100,226.0100,226.0100,281
2018-05-21,225.0100,225.0100,225.0100,225.0100,618
2018-05-18,232.0000,232.0000,228.2000,228.2000,778
2018-05-17,233.0000,233.0000,232.0000,232.0000,439
2018-05-16,228.5800,248.4200,228.0000,228.3200,2137
2018-05-15,226.4200,228.1500,226.4200,228.1500,676
2018-05-14,222.5100,222.5100,222.5100,222.5100,489
2018-05-11,235.0000,235.0000,235.0000,235.0000,269
2018-05-10,232.0000,235.0000,232.0000,235.0000,729
2018-05-09,226.2000,228.3200,226.2000,228.3200,606
2018-05-08,225.0000,225.0000,225.0000,225.0000,341
2018-05-07,225.0000,225.0000,225.0000,225.0000,600
2018-05-04,225.3980,225.3980,225.3980,225.3980,225
2018-05-03,232.7800,232.7800,232.7800,232.7800,95
2018-05-02,232.7800,232.7800,232.7800,232.7800,200
